"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","Update the already Created User Test","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","5450","Verify Product Information","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","4097","Negative Login Test with Excel Sheet having username: nltech1@gmail.com and password: admin@456","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3427","Negative Login Test with username: and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3507","Use Doing actual login Test","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","4097","Negative Login Test with username: nltech@gmail.com and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3426","Negative Login Test with JSON data having username: nltech02@gmail.com and password: admin467","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","339","Create a New User Test","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","4250","Negative Login Test with username: and password: admin@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","314","Delete the already Created User Test","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","3438","Negative Login Test with JSON data having username: manoj@gmail.com and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","5462","Verify Click Product Is Landing onto Product Page","chromium","2026-07-26","passed","2026-07-26","","searchPage.spec.ts","",""
"","3487","Home Page Logout Link Test","chromium","2026-07-26","passed","2026-07-26","","homePage.spec.ts","",""
"","3514","Negative Login Test with Excel Sheet having username: and password: admin@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","326","Fetch All the Users Data","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","3628","Negative Login Test with Excel Sheet having username: Manish@gmail.com and password: manish@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","6510","Verify Product Images Count","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","880","Forgot Password Link Exist Test @sanity","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","850","Login Page Title Test @sanity","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","4710","Verify Search Functionality Results Count Test","chromium","2026-07-26","passed","2026-07-26","","searchPage.spec.ts","",""
"","342","Delete the already Created User API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","3663","Check If Logo is Visible on Product Info Page","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","3568","Negative Login Test with username: nltech01@gmail.com and password: admin467","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3503","Check Count of Footers on the Product Page","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","4349","Verify Search Functionality Header Test","chromium","2026-07-26","passed","2026-07-26","","searchPage.spec.ts","",""
"","3457","Negative Login Test with JSON data having username: and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","1243","Get All Users API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","336","Fetch the Single Users Data","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","3462","Negative Login Test with Excel Sheet having username: Admin@gmail.com and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3476","Negative Login Test with JSON data having username: and password: Neha@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","346","Create a Fresh User API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","2949","Home Page Headers Test","chromium","2026-07-26","passed","2026-07-26","","homePage.spec.ts","",""
"","341","Update the already Created User API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","3980","Home Page Title Test","chromium","2026-07-26","passed","2026-07-26","","homePage.spec.ts","",""
