"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4352","Home Page Headers Test","chromium","2026-07-26","passed","2026-07-26","","homePage.spec.ts","",""
"","3400","Negative Login Test with JSON data having username: manoj@gmail.com and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3484","Negative Login Test with Excel Sheet having username: Manish@gmail.com and password: manish@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","365","Create a Fresh User API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","3504","Negative Login Test with JSON data having username: and password: Neha@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","348","Delete the already Created User API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","4510","Verify Search Functionality Header Test","chromium","2026-07-26","passed","2026-07-26","","searchPage.spec.ts","",""
"","3580","Negative Login Test with username: nltech@gmail.com and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","2993","Home Page Title Test","chromium","2026-07-26","passed","2026-07-26","","homePage.spec.ts","",""
"","1682","Forgot Password Link Exist Test @sanity","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3394","Negative Login Test with JSON data having username: and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","357","Create a New User Test","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","4623","Home Page Logout Link Test","chromium","2026-07-26","passed","2026-07-26","","homePage.spec.ts","",""
"","5451","Verify Product Images Count","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","3507","Negative Login Test with username: nltech01@gmail.com and password: admin467","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","5287","Verify Product Information","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","3904","Negative Login Test with username: and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3446","Negative Login Test with Excel Sheet having username: Admin@gmail.com and password:","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","323","Fetch All the Users Data","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","3264","Negative Login Test with username: and password: admin@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","3504","Check Count of Footers on the Product Page","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","3435","Negative Login Test with JSON data having username: nltech02@gmail.com and password: admin467","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","813","Login Page Title Test @sanity","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","312","Delete the already Created User Test","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","3464","Check If Logo is Visible on Product Info Page","chromium","2026-07-26","passed","2026-07-26","","productInfo.spec.ts","",""
"","3444","Negative Login Test with Excel Sheet having username: nltech1@gmail.com and password: admin@456","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","4333","Verify Search Functionality Results Count Test","chromium","2026-07-26","passed","2026-07-26","","searchPage.spec.ts","",""
"","352","Fetch the Single Users Data","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","317","Update the already Created User Test","chromium","2026-07-26","passed","2026-07-26","","users.api.spec.ts","",""
"","2965","Use Doing actual login Test","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
"","341","Update the already Created User API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","4132","Verify Click Product Is Landing onto Product Page","chromium","2026-07-26","passed","2026-07-26","","searchPage.spec.ts","",""
"","1197","Get All Users API Test","chromium","2026-07-26","passed","2026-07-26","End to End Users API Tests Cases","apitests/users.api.sep.spec.ts","",""
"","3420","Negative Login Test with Excel Sheet having username: and password: admin@123","chromium","2026-07-26","passed","2026-07-26","","loginPage.spec.ts","",""
